,created,handle,text,tweet_id
0,Wed Mar 21 11:49:06 +0000 2018,Roberto Cavalli,"Stylistic Synthesis - Shift your wardrobe from winter to spring with ease.

Discover more through https://t.co/eZ5U81xEwU

#RobertoCavalli https://t.co/fBonCdqsyV",976425463089455104
1,Tue Mar 20 12:00:01 +0000 2018,Roberto Cavalli,"Tropical Jungle - This season dress codes are relaxed in favor of versatile style that slots effortlessly into modern life.

Discover more through https://t.co/ncXSF7LCH1

#RobertoCavalli https://t.co/yxvP2a71ph",976065824288071680
2,Mon Mar 19 12:00:02 +0000 2018,Roberto Cavalli,"Time for Him - The #RobertoCavalli men's watches collection reinterprets its masculine graphics codes. 

Discover more through https://t.co/B3PZbwkM9u https://t.co/jd9pe26IlK",975703441866502145
3,Sun Mar 18 14:00:01 +0000 2018,Roberto Cavalli,"Fierce Combinations - The oversized cotton pullover has a V neck and a jacquard pattern that resembles a snake in nature.

Shop now through https://t.co/UWksXaVwXL

#RobertoCavalli https://t.co/NiYNJN4UDc",975371246270664704
4,Sat Mar 17 11:00:01 +0000 2018,Roberto Cavalli,"""Macro Zebra"" printed hairy calfskin with curled rainproof flap and matching belt. Iconic prints on easy-chic pieces

Discover more through https://t.co/4dmtmFCSlx

Magazine : #madamefigarofr 
Photographer: #thomaslavellephotography
Styled by #VéroniqueCarré
Model: #alexinagraham https://t.co/UAUCraO2Y1",974963562618658816
5,Fri Mar 16 12:00:02 +0000 2018,Roberto Cavalli,"@Kimkardashian in a trench coat in ""macro zebra"" printed hairy calfskin with curled rainproof flap and matching belt for #oddamagazine shot by #sitabellan 

Shop the collection through https://t.co/4dmtmFCSlx

Magazine: #OddaMagazine https://t.co/HSKbuE29FJ",974616278705958914
6,Thu Mar 15 12:46:05 +0000 2018,Roberto Cavalli,"""Macro Zebra"" - A modern experience of glamour in a daywear context,  from the #RobertoCavalli Spring / Summer 2018 collection.

Shop now through https://t.co/BVDWFHPeyS
Magazine : #HarpersBazaarChina https://t.co/Cufe4IR11W",974265477546561536
7,Wed Mar 14 16:02:54 +0000 2018,Roberto Cavalli,"Wild Side - From the #RobertoCavalli #SS18 collection, 
trench coat in ""macro zebra"" printed hairy calfskin with curled rainproof flap and matching belt
Discover more through https://t.co/BVDWFHPeyS
#AmicaMagazine
Photographer: Philip Gay
Styled by Nik Piras
Model: Lorelle Rayner https://t.co/CQ0B6TjHRF",973952621567467520
8,Tue Mar 13 17:08:18 +0000 2018,Roberto Cavalli,"Female Empowerment - @CindyCrawford for #thpopmag in a cotton silk saharian jacket with “heritage zebra” print from the #RobertoCavalli Spring / Summer 2018 collection.

Ph: Charlotte Walles 
Styled by: Charlotte Collett https://t.co/x6dehSicph",973606692779896832
9,Sat Mar 10 10:25:11 +0000 2018,Roberto Cavalli,"Karlie Kloss ( @karliekloss ) is wearing a tan leather trench coat from the Roberto Cavalli Fall/Winter 2018/19 collection while out and about in Paris during Paris Fashion Week  

https://t.co/AGsBOEtXvj

#CavalliGirls #RobertoCavalliFW18 #KarlieKloss #repost https://t.co/s20LQzjOjx",972418080084283396
10,Thu Mar 08 12:02:51 +0000 2018,Roberto Cavalli,"Jhene Aiko ( @JheneAiko ) in #RobertoCavalli while attending the Roberto Cavalli Fall/Winter 2018-19 After-Show private dinner in Milan.

#RCSHOWFW18 ​#CavalliGirls

https://t.co/AGsBOEtXvj https://t.co/4uWQt6W9Oq",971717883603636224
11,Wed Mar 07 12:00:02 +0000 2018,Roberto Cavalli,"TK Wonder &amp; Cipriana Quann in #RobertoCavalli while attending the Roberto Cavalli Fall/Winter 2018-19 After-Show private dinner in Milan.

https://t.co/AGsBOEtXvj

#RCSHOWFW18 ​#CavalliGirls https://t.co/zfxyvXSJpx",971354784149180417
